Country,City
Deutschland,Köln
Deutschland,Düsseldorf
Deutschland,Padeborn
Deutschland,Lippstadt
Deutschland,Geseke
Deutschland,Dortmund
Deutschland,Gütersloh
Belarus,Borisow
Belarus,Braslaw
Belarus,Minsk
Belarus,Brest
Belarus,Neswisch
Belarus,Mogilew
Belarus,Zhodino
Spanien,Alicante
Spanien,Madrid
Mauritius,Port-Lui
Mauritius,Flic En Flac
Mauritius,Soulliac
Montenegro,Budva Li
Montenegro,Kotor
Montenegro,Podgorica
Griechenland,Chania
Griechenland,Platanias
Griechenland,Rethymnon
Griechenland,Matala
Türkei,Istambul
Türkei,Antalya
Bulgarien,Albena
Bulgarien,Varna
Ägypten,Hurghada
Russland,Moskow
Ukraine,Odessa
Niederlande,Amsterdam
Litauen,Vilnius
